country,region
Afghanistan,Southern Asia
Åland Islands,Northern Europe
Albania,Southern Europe
Algeria,Northern Africa
American Samoa,Polynesia
Andorra,Southern Europe
Angola,Middle Africa
Anguilla,Caribbean
Antarctica,Antarctica
Antigua and Barbuda,Caribbean
Argentina,South America
Armenia,Western Asia
Aruba,Caribbean
Australia,Australia and New Zealand
Austria,Western Europe
Azerbaijan,Western Asia
Bahamas,Caribbean
Bahrain,Western Asia
Bangladesh,Southern Asia
Barbados,Caribbean
Belarus,Eastern Europe
Belgium,Western Europe
Belize,Central America
Benin,Western Africa
Bermuda,Northern America
Bhutan,Southern Asia
Bolivia (Plurinational State of),South America
"Bonaire, Sint Eustatius and Saba",Caribbean
Bosnia and Herzegovina,Southern Europe
Botswana,Southern Africa
Bouvet Island,South America
Brazil,South America
British Indian Ocean Territory,Eastern Africa
British Virgin Islands,Caribbean
Brunei,Southeast Asia
Bulgaria,Eastern Europe
Burkina Faso,Western Africa
Burundi,Eastern Africa
Cabo Verde,Western Africa
Cambodia,Southeast Asia
Cameroon,Middle Africa
Canada,Northern America
Cayman Islands,Caribbean
Central African Republic,Middle Africa
Chad,Middle Africa
Chile,South America
China,Eastern Asia
"China, Hong Kong Special Administrative Region",Eastern Asia
"China, Macao Special Administrative Region",Eastern Asia
Christmas Island,Australia and New Zealand
Cocos (Keeling) Islands,Australia and New Zealand
Colombia,South America
Comoros,Eastern Africa
Congo,Middle Africa
Cook Islands,Polynesia
Costa Rica,Central America
Côte d’Ivoire,Western Africa
Croatia,Southern Europe
Cuba,Caribbean
Curaçao,Caribbean
Cyprus,Western Asia
Czech Republic,Eastern Europe
Democratic People's Republic of Korea,Eastern Asia
Democratic Republic of the Congo,Middle Africa
Denmark,Northern Europe
Djibouti,Eastern Africa
Dominica,Caribbean
Dominican Republic,Caribbean
Ecuador,South America
Egypt,Northern Africa
El Salvador,Central America
Equatorial Guinea,Middle Africa
Eritrea,Eastern Africa
Estonia,Northern Europe
Eswatini,Southern Africa
Ethiopia,Eastern Africa
Falkland Islands (Malvinas),South America
Faroe Islands,Northern Europe
Fiji,Melanesia
Finland,Northern Europe
France,Western Europe
French Guiana,South America
French Polynesia,Polynesia
French Southern Territories,Eastern Africa
Gabon,Middle Africa
Gambia,Western Africa
Georgia,Western Asia
Germany,Western Europe
Ghana,Western Africa
Gibraltar,Southern Europe
Greece,Southern Europe
Greenland,Northern America
Grenada,Caribbean
Guadeloupe,Caribbean
Guam,Micronesia
Guatemala,Central America
Guernsey,Northern Europe
Guinea,Western Africa
Guinea-Bissau,Western Africa
Guyana,South America
Haiti,Caribbean
Heard Island and McDonald Islands,Australia and New Zealand
Holy See,Southern Europe
Honduras,Central America
Hungary,Eastern Europe
Iceland,Northern Europe
India,Southern Asia
Indonesia,Southeast Asia
Iran,Southern Asia
Iraq,Western Asia
Ireland,Northern Europe
Isle of Man,Northern Europe
Israel,Western Asia
Italy,Southern Europe
Jamaica,Caribbean
Japan,Eastern Asia
Jersey,Northern Europe
Jordan,Western Asia
Kazakhstan,Central Asia
Kenya,Eastern Africa
Kiribati,Micronesia
Kuwait,Western Asia
Kyrgyzstan,Central Asia
Laos,Southeast Asia
Latvia,Northern Europe
Lebanon,Western Asia
Lesotho,Southern Africa
Liberia,Western Africa
Libya,Northern Africa
Liechtenstein,Western Europe
Lithuania,Northern Europe
Luxembourg,Western Europe
Madagascar,Eastern Africa
Malawi,Eastern Africa
Malaysia,Southeast Asia
Maldives,Southern Asia
Mali,Western Africa
Malta,Southern Europe
Marshall Islands,Micronesia
Martinique,Caribbean
Mauritania,Western Africa
Mauritius,Eastern Africa
Mayotte,Eastern Africa
Mexico,Central America
Micronesia (Federated States of),Micronesia
Monaco,Western Europe
